NodalMass,LCol,E,A,Iz,period,k_theory,top_disp_at_100kip
4.19,100,3600,3600.0,1080000.0,0.11908666260362703,11664.0,0.008573388203017833
4.19,100,4227,3600.0,1080000.0,0.10990014130549026,13695.48,0.007301679094124485
4.19,100,5000,3600.0,1080000.0,0.10104838401107893,16200.0,0.006172839506172839
4.19,200,3600,3600.0,1080000.0,0.33682794670359645,1458.0,0.06858710562414266
4.19,200,4227,3600.0,1080000.0,0.3108445406818879,1711.935,0.05841343275299588
4.19,200,5000,3600.0,1080000.0,0.28580799024870485,2025.0,0.04938271604938271
4.19,300,3600,3600.0,1080000.0,0.6187924503998838,432.0,0.23148148148148148
4.19,300,4227,3600.0,1080000.0,0.5710578855003244,507.24,0.1971453355413611
4.19,300,5000,3600.0,1080000.0,0.5250628053897578,600.0,0.16666666666666666
4.19,400,3600,3600.0,1080000.0,0.9526933008290163,182.25,0.5486968449931413
4.19,400,4227,3600.0,1080000.0,0.8792011304439221,213.991875,0.46730746202396706
4.19,400,5000,3600.0,1080000.0,0.8083870720886315,253.125,0.3950617283950617
4.19,500,3600,3600.0,1080000.0,1.3314293639764607,93.312,1.0716735253772292
4.19,500,4227,3600.0,1080000.0,1.2287209334795435,109.56384,0.9127098867655606
4.19,500,5000,3600.0,1080000.0,1.129755278326377,129.6,0.7716049382716049
4.39,100,3600,3600.0,1080000.0,0.12189569643591244,11664.0,0.008573388203017833
4.39,100,4227,3600.0,1080000.0,0.11249248211302137,13695.48,0.007301679094124485
4.39,100,5000,3600.0,1080000.0,0.10343192825674867,16200.0,0.006172839506172839
4.39,200,3600,3600.0,1080000.0,0.34477309418916224,1458.0,0.06858710562414266
4.39,200,4227,3600.0,1080000.0,0.3181767877384952,1711.935,0.05841343275299588
4.39,200,5000,3600.0,1080000.0,0.2925496714461898,2025.0,0.04938271604938271
4.39,300,3600,3600.0,1080000.0,0.6333886183529785,432.0,0.23148148148148148
4.39,300,4227,3600.0,1080000.0,0.5845280834678585,507.24,0.1971453355413611
4.39,300,5000,3600.0,1080000.0,0.5374480645965232,600.0,0.16666666666666666
4.39,400,3600,3600.0,1080000.0,0.9751655714872995,182.25,0.5486968449931413
4.39,400,4227,3600.0,1080000.0,0.899939856904171,213.991875,0.46730746202396706
4.39,400,5000,3600.0,1080000.0,0.8274554260539894,253.125,0.3950617283950617
4.39,500,3600,3600.0,1080000.0,1.3628353169768952,93.312,1.0716735253772292
4.39,500,4227,3600.0,1080000.0,1.2577041848119748,109.56384,0.9127098867655606
4.39,500,5000,3600.0,1080000.0,1.1564041131298568,129.6,0.7716049382716049
4.59,100,3600,3600.0,1080000.0,0.12464143937359731,11664.0,0.008573388203017833
4.59,100,4227,3600.0,1080000.0,0.115026414379177,13695.48,0.007301679094124485
4.59,100,5000,3600.0,1080000.0,0.10576176839750713,16200.0,0.006172839506172839
4.59,200,3600,3600.0,1080000.0,0.35253922799169046,1458.0,0.06858710562414266
4.59,200,4227,3600.0,1080000.0,0.32534383049235943,1711.935,0.05841343275299588
4.59,200,5000,3600.0,1080000.0,0.29913945449663354,2025.0,0.04938271604938271
4.59,300,3600,3600.0,1080000.0,0.6476559171707594,432.0,0.23148148148148148
4.59,300,4227,3600.0,1080000.0,0.5976947817516175,507.24,0.1971453355413611
4.59,300,5000,3600.0,1080000.0,0.5495542690884444,600.0,0.16666666666666666
4.59,400,3600,3600.0,1080000.0,0.9971315149887785,182.25,0.5486968449931413
4.59,400,4227,3600.0,1080000.0,0.920211315033416,213.991875,0.46730746202396706
4.59,400,5000,3600.0,1080000.0,0.846094147180057,253.125,0.3950617283950617
4.59,500,3600,3600.0,1080000.0,1.393533656263912,93.312,1.0716735253772292
4.59,500,4227,3600.0,1080000.0,1.2860344087994953,109.56384,0.9127098867655606
4.59,500,5000,3600.0,1080000.0,1.1824525177870748,129.6,0.7716049382716049
4.79,100,3600,3600.0,1080000.0,0.12732798596007147,11664.0,0.008573388203017833
4.79,100,4227,3600.0,1080000.0,0.1175057167882135,13695.48,0.007301679094124485
4.79,100,5000,3600.0,1080000.0,0.10804137876863047,16200.0,0.006172839506172839
4.79,200,3600,3600.0,1080000.0,0.3601379292287682,1458.0,0.06858710562414266
4.79,200,4227,3600.0,1080000.0,0.3323563566765269,1711.935,0.05841343275299588
4.79,200,5000,3600.0,1080000.0,0.30558716630417154,2025.0,0.04938271604938271
4.79,300,3600,3600.0,1080000.0,0.6616156227247814,432.0,0.23148148148148148
4.79,300,4227,3600.0,1080000.0,0.6105776149709551,507.24,0.1971453355413611
4.79,300,5000,3600.0,1080000.0,0.561399472041184,600.0,0.16666666666666666
4.79,400,3600,3600.0,1080000.0,1.0186238876805718,182.25,0.5486968449931413
4.79,400,4227,3600.0,1080000.0,0.940045734305708,213.991875,0.46730746202396706
4.79,400,5000,3600.0,1080000.0,0.8643310301490438,253.125,0.3950617283950617
4.79,500,3600,3600.0,1080000.0,1.4235701602242932,93.312,1.0716735253772292
4.79,500,4227,3600.0,1080000.0,1.3137538524164183,109.56384,0.9127098867655606
4.79,500,5000,3600.0,1080000.0,1.2079393365473012,129.6,0.7716049382716049
4.99,100,3600,3600.0,1080000.0,0.1299590074145466,11664.0,0.008573388203017833
4.99,100,4227,3600.0,1080000.0,0.11993377735606242,13695.48,0.007301679094124485
4.99,100,5000,3600.0,1080000.0,0.11027387450291845,16200.0,0.006172839506172839
4.99,200,3600,3600.0,1080000.0,0.3675795816763948,1458.0,0.06858710562414266
4.99,200,4227,3600.0,1080000.0,0.33922394904715736,1711.935,0.05841343275299588
4.99,200,5000,3600.0,1080000.0,0.3119016177949118,2025.0,0.04938271604938271
4.99,300,3600,3600.0,1080000.0,0.6752868112296454,432.0,0.23148148148148148
4.99,300,4227,3600.0,1080000.0,0.6231941877730616,507.24,0.1971453355413611
4.99,300,5000,3600.0,1080000.0,0.5729998601595867,600.0,0.16666666666666666
4.99,400,3600,3600.0,1080000.0,1.0396720593163729,182.25,0.5486968449931413
4.99,400,4227,3600.0,1080000.0,0.9594702188484994,213.991875,0.46730746202396706
4.99,400,5000,3600.0,1080000.0,0.8821909960233476,253.125,0.3950617283950617
4.99,500,3600,3600.0,1080000.0,1.452985874336627,93.312,1.0716735253772292
4.99,500,4227,3600.0,1080000.0,1.3409003948324028,109.56384,0.9127098867655606
4.99,500,5000,3600.0,1080000.0,1.2328993976540326,129.6,0.7716049382716049
